academia cursor	akatemian vahtimestari	academy janitor
landsherre	vuokraisäntä	landlord
landshövding	maaherra	governor
landskanslist	lääninkanslisti	county clerk
landlöpare	kiertolainen	vagabond
landskapsmålare	maisemamaalari	landscape painter
landssekreterare	lääninsihteeri	county secretary
landstullvisiteur	läänin tullitarkastaja	county customs inspector
lantarbetare, landtarbertare	renki	farm-hand
lantbrukare, landtbrukare	maanviljelijä	farmer
lantdragon, landtdragon	maarakuuna, autiotiloja asuttamalla perustetun rakuunayksikön sotilas	dragoon, light cavalryman
lanthandlande, landthandlande	maakauppias - kauppias, joka kävi kauppaa kaupunkien ulkopuolella (oli kiellettyä 1775 saakka)	rural tradesman, country-store keeper, trader outside of cities (was illegal until 1775)
lantjunkare, landtjunkare	maajunkkari, maahovilainen, maa-aatelin edustaja	master of the house of lower nobility
lantman, landtman	maanviljelijä	farmer
lantmätare, landtmätare	maanmittari	surveyor
lantpostmästare, landtpostmästare	maalaispostimestari	rural postmaster
lantvärnskarl, landtvärnskarl	nostoväkimies	conscript
lansknekt	keihäsmies	spearman
lappborgare	lapinporvari	Lapp burgher
lasarettsläkare, lazaretsläkare	sairaalalääkäri	hospital doctor, hospital medical officer
lauckuryss	laukkuryssä	travelling salesman (Russian)
lavettmakare	lavetintekijä	gun carriage maker
ledsagare	seuralainen, saattaja	companion
legoknekt	palkkasoturi	mercenary
lektor	vanhempi opettaja	senior teacher
leverantör	tavarantoimittaja	deliverer of goods
licentiat, licenciat	lisensisaati	licenciate
lieutenant	luutnantti	lieutenant
lifdrabant, livdrabant	henkivartija, kuninkaan henkivartioston upseeri	life guard officer
lifegen	maaorja	serf
linkrämare	pellavakauppias	linen draper
linvävare, lijnväfvare	pellavankutoja, pellavakankuri	linen weaver
litograf	kivipainaja, -piirtäjä	lithographist
litteratör	kirjailija	writer
livmedikus	henkilääkäri (kuninkaan)	private doctor, physician in ordinary to the King
ljusstakemästare	kynttilänjalantekijä, -mestari	candlestick maker, candlestick-master
logarfvare	parkitsija	tanner
lokförare, lokomotivförare	veturinkuljettaja	railway engineer
lots	luotsi	ship's pilot
lotsuppsyningsmannen	luotsitarkastaja	inspector of pilot service
lotsålderman	luotsivanhin	pilot alderman
